Location,Province,State,Hewett_Sample_Number,Mine,USGS_Sample_ID,Mineral,Additional_Descriptions,Selected_References,Collector,Latitude,Longitude,WGS84_Coordinate_Source,MRDS_Record_ID,PLSS,Sample_Type,Label_Origin,Mn_Oxide_Dominant,Mn_Min_Vol_Estimate,Mass_kilograms,Mass_grams,Cabinet_Letter,Drawer_Number,,
Madison County,,Montana,MON-3,Wigwam Creek Prospect,MC0187,,,,Lee Matson,45.18410,-111.77945,MRDS,10294622,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.204,204,A,13,,
Bannock County,,Idaho,ID-3,Lava Hot Springs,MC0190,,,,,42.61552,-112.00802,MRDS,10168375,,Reference Hand Sample(s),Rock Bag,Y,70,0.794,794,A,13,,
Franklin County,,Idaho,ID-1,Cleveland Mine,MC0191,,,,,42.33322,-111.70251,MRDS,10207624,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.782,782,A,14,,
Franklin County,,Idaho,ID-1-4,Cleveland Mine,MC0192,,,,,42.33322,-111.70251,MRDS,10207624,,Reference Hand Sample(s),Paper Bag,Y,90,1.038,"1,038",A,14,,
Franklin County,,Idaho,ID-1-3,Cleveland Mine,MC0193,,,,,42.33322,-111.70251,MRDS,10207624,,Reference Hand Sample(s),Paper Bag,Y,80,0.564,564,A,14,,
Franklin County,,Idaho,ID-1-1,Cleveland Mine,MC0194,,,,,42.33322,-111.70251,MRDS,10207624,,Reference Hand Sample(s),Paper Bag,N,40,0.292,292,A,14,,
Franklin County,,Idaho,ID-1-2,Cleveland Mine,MC0195,,,,,42.33322,-111.70251,MRDS,10207624,,Reference Hand Sample(s),Paper Bag,Y,50,0.778,778,A,14,,
Mason County,,Washington,,Black and White Mine,MC0199,,,,John A. Straczek,47.57423,-123.34626,MRDS,10088849,,Reference Hand Sample(s),Rock Bag,Y,60,0.264,264,A,14,,
Mason County,,Washington,,Black and White Mine,MC0201,,,,John A. Straczek,47.57423,-123.34626,MRDS,10088849,,Reference Hand Sample(s),Rock Bag,N,40,0.286,286,A,14,,
Mason County,,Washington,,Black and White Mine,MC0202,,,,John A. Straczek,47.57423,-123.34626,MRDS,10088849,,Reference Hand Sample(s),Rock Bag,N,40,0.312,312,A,14,,
Mason County,,Washington,,Black and White Mine,MC0204,,,,John A. Straczek,47.57423,-123.34626,MRDS,10088849,,Reference Hand Sample(s),Rock Bag,N,40,0.388,388,A,14,,
Mason County,,Washington,,Black and White Mine,MC0205,,,,John A. Straczek,47.57423,-123.34626,MRDS,10088849,,Reference Hand Sample(s),Rock Bag,Y,70,0.188,188,A,14,,
Mason County,,Washington,WA-2-1,Triple Trip Mine,MC0206,,,,,47.50368,-123.32126,MRDS,10093020,,Reference Hand Sample(s),Rock Bag,N,40,0.302,302,A,14,,
Clallam County,,Washington,WA-1-25,Crescent Mine,MC0207,,Level 275,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,80,2.834,"2,834",A,15,,
Clallam County,,Washington,WA-1-28,Crescent Mine,MC0208,,Northeast Drift,,,48.07750,-123.94333,MRDS,10042389,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.88,880,A,15,,
Clallam County,,Washington,WA-3-3,Crescent Mine,MC0209,,Northeast Drift,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,40,1.242,"1,242",A,15,,
Clallam County,,Washington,WA-1-22,Ed. B Claim,MC0210,,,,,48.07789,-124.04989,MRDS,10227771,,Reference Hand Sample(s),Rock Bag,Y,70,0.252,252,A,15,,
Clallam County,,Washington,WA-1-24,Crescent Mine,MC0211,,,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,20,0.14,140,A,15,,
Clallam County,,Washington,WA-1-9,Crescent Mine,MC0214,,,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,90,0.396,396,A,15,,
Clallam County,,Washington,WA-1-15,Crescent Mine,MC0215,,,,John A. Straczek,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,30,1.124,"1,124",A,15,,
Clallam County,,Washington,WA-1-11,Crescent Mine,MC0217,,,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,80,0.732,732,A,15,,
Clallam County,,Washington,,Crescent Mine,MC0218,,,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,40,1.12,"1,120",A,15,,
Clallam County,,Washington,WA-1-18,Crescent Mine,MC0220,,Level 4 Stope,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,35,0.168,168,A,16,,
Clallam County,,Washington,WA-1-8,Crescent Mine,MC0221,,,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,55,0.138,138,A,16,,
Clallam County,,Washington,WA-1-26,Crescent Mine,MC0222,,,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,50,1.316,"1,316",A,16,,
Clallam County,,Washington,WA-1-21,Crescent Mine,MC0224,,Number 5 Tunnel,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,50,0.256,256,A,16,,
Clallam County,,Washington,WA-3-2,Crescent Mine,MC0225,,,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,60,1.058,"1,058",A,16,,
Clallam County,,Washington,WA-1-12,Crescent Mine,MC0227,,,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,50,0.206,206,A,16,,
Clallam County,,Washington,WA-1-15,Crescent Mine,MC0228,,,,,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,N,40,0.702,702,A,16,,
Jackson County,,Oregon,OR-5,Shamrock Manganese,MC0232,,Evans Creek,,,42.59732,-122.9767,MRDS,10043050,,Core Sample(s),Rock Bag,N,5,0.844,844,A,17,,
Curry County,,Oregon,OR-2,Long Ridge Prospect,MC0236,,,,Ivan F. Wilson,42.26592,-124.07057,MRDS,10250103,,Reference Hand Sample(s),Rock Bag,N,45,0.482,482,A,17,,
Sumpter,,Oregon,OR-3,North Pole Mine,MC0237,,Level 500,,,44.82485,-118.21688,MRDS,10107273,,Reference Hand Sample(s),Rock Bag,N,5,0.246,246,A,17,,
Mason County,,Texas,T-3,Spiller Mine,MC0238,,,,,30.90520,-99.09345,MRDS,10275993,,"Reference Hand Sample(s),Powder",Rock Bag,N,30,0.928,928,A,17,,
Chispa,,Texas,T-2,Mayfield Mine,MC0239,,,,,30.72297,-104.77551,MRDS,10085792,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.36,360,A,17,,
San Miguel County,,Colorado,COL-2,Klondike Ridge,MC0240,,,,,38.01690,-108.69287,MRDS,10143045,,Reference Hand Sample(s),Rock Bag,Y,90,0.88,880,A,17,,
Fremont County,,Colorado,COL-7,,MC0243,,"North of Iron Mountain, Fremont county, Colorado",,Raymond Parker,38.34251,-105.42224,MRDS,10113539,,Reference Hand Sample(s),Rock Bag,N,30,0.238,238,A,17,,
Chaffee County,,Colorado,COL-1,Alderman Deposit,MC0244,,Browns Canyon District,,,38.62528,-106.06504,MRDS,10013699,,Reference Hand Sample(s),Rock Bag,N,25,0.896,896,A,18,,
Del Norte,,Colorado,COL-4,Shaw Claim,MC0245,,,,,37.81195,-106.44449,MRDS,10012928,,Reference Hand Sample(s),Rock Bag,Y,70,0.858,858,A,18,,
Del Norte,,Colorado,COL-4-1,Shaw Claim and Goodman Claim,MC0246,,,,,37.81195,-106.44449,MRDS,10012928,,Reference Hand Sample(s),Rock Bag,N,20,1.116,"1,116",A,18,,
Del Norte,,Colorado,COL-4-154,Goodman Claim,MC0247,,,,,37.81195,-106.44449,MRDS,10012928,,Reference Hand Sample(s),Rock Bag,N,40,0.13,130,A,18,,
Del Norte,,Colorado,COL-4-115,Shaw Claim,MC0248,,,,,37.81195,-106.44449,MRDS,10012928,,Reference Hand Sample(s),Rock Bag,Y,75,0.312,312,A,18,,
Chaffee County,,Colorado,,,MC0250,,Browns Canyon District,,D.C. Cox,38.64722,-106.07560,MRDS,10013778,,Reference Hand Sample(s),Rock Bag,Y,65,0.582,582,A,18,,
Chaffee County,,Colorado,,,MC0251,,Browns Canyon District,,D.C. Cox,38.64722,-106.07560,MRDS,10013778,,Reference Hand Sample(s),Rock Bag,N,30,0.906,906,A,18,,
Silverton,,Colorado,,Fairview Claim,MC0252,,,,,37.78891,-107.67144,MRDS,10289116,,Reference Hand Sample(s),Rock Bag,Y,80,0.866,866,A,18,,
San Bernardino,,California,COL-14,Van Horn,MC0255,,,,Dick Erd,34.28974,-114.30249,MRDS,10285612,,Reference Hand Sample(s),Rock Bag,N,40,2.072,"2,072",B,B1,,
Heber,,Utah,UT-22,,MC0256,,,,,40.536545,-111.4721444,Earth Point©,,"Northeast Section 27,T3S,R4E","Reference Hand Sample(s),Powder",Rock Bag,N,25,0.572,572,B,B1,,
Garfield County,,Utah,UT-4,Deuel Manganese Mines,MC0257,,Deuel Manganese Mine is in proximity of Harris Wash.,,,37.63332,-111.2513,MRDS,10009960,,Reference Hand Sample(s),Rock Bag,N,45,0.402,402,B,B1,,
Washington County,,Utah,UT-19,Black Beauty Claim No.1,MC0259,,,,,37.26776,-113.78164,MRDS,10021263,,Reference Hand Sample(s),Rock Bag,N,40,0.432,432,B,B1,,
Sevier County,,Utah,UT-4,Monroe Hot Springs,MC0261,,,,,38.64027,-112.11188,MRDS,10190940,,Reference Hand Sample(s),Rock Bag,N,45,0.09,90,B,B1,,
Beaver County,,Utah,UT-10,Monarch Mine,MC0263,,,,,38.24996,-113.58415,MRDS,10069420,,Reference Hand Sample(s),Rock Bag,N,55,0.254,254,B,B1,,
Juab County,,Utah,UT-5,Abraham Hot Spring,MC0264,,,,,39.61635,-112.72721,MRDS,10226873,,Reference Hand Sample(s),Rock Bag,N,65,0.08,80,B,B1,,
Rich County,,Utah,UT-16,Lakeview Manganese Mine,MC0265,,,,,41.79826,-111.28107,MRDS,10041741,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.38,380,B,B1,,
Ophir,,Utah,UT-11,Jim Fisk Mine,MC0267,,,,,40.37605,-112.24469,MRDS,10088432,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.872,872,B,B1,,
Weber County,,Utah ,UT-12,Payday Mine,MC0268,,,,,41.30021,-111.58523,MRDS,10041753,,"Reference Hand Sample(s),Powder",Rock Bag,Y,85,0.904,904,B,B1,,
Utah County,,Utah,UT-9,Burgin Kenecott Mine,MC0269,,Drill cores from hole ET No.32 at 1052 level of Burgin Shaft.,,,39.95023,-112.04523,MRDS,10073158,,Core Sample(s),Rock Bag,Y,90,0.216,216,B,B1,,
Utah County,,Utah,UT-11,Burgin Kenecott Mine,MC0271,,Drill cores from hole ET No.32 at 1052 level of Burgin Shaft.,,,39.95023,-112.04523,MRDS,10073158,,Core Sample(s),Rock Bag,N,25,0.144,144,B,B1,,
Davis County,,Utah,UT-26,Hooper Hot Springs,MC0273,,"Ogden,Utah",,,41.13053,-112.16891,MRDS,10251557,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,N,30,0.276,276,B,B2,,
Davis County,,Utah,UT-27,Hooper Hot Springs,MC0274,,"Ogden,Utah",,,41.13053,-112.16891,MRDS,10251557,,Reference Hand Sample(s),Rock Bag,N,20,0.45,450,B,B2,,
Millard County,,Utah,UT-25,,MC0277,,"Conger Range,Utah",,R.K. Hose,39.1850615,-113.7623457,Earth Point©,,"Section 4,T19S,R17W",Reference Hand Sample(s),Rock Bag,N,45,1.202,"1,202",B,B2,,
Millard County,,Utah,UT-26,,MC0278,,"Conger Range,Utah",,R.K. Hose,39.1410117,-113.8598479,Earth Point©,,"Section 22,T19S,R18W","Reference Hand Sample(s),Powder,Pebble",Rock Bag,N,30,0.666,666,B,B2,,
Wasatch County,,Utah,UT-22,Heber Hot Spa,MC0279,,,,,40.5292074,-111.481664,Earth Point©,,"Section 27,T3S,R4E",Reference Hand Sample(s),Rock Bag,N,40,0.67,670,B,B2,,
Millard County,,Utah,,,MC0280,,"Conger Range, Utah",,,39.1700869,-113.8786666,Earth Point©,,"Section 9,T19S,R18W",Reference Hand Sample(s),Rock Bag,Y,50,0.616,616,B,B2,,
Utah County,,Utah,UT-17,Oxen Mine,MC0282,,,,,39.97328,-112.07607,MRDS,10042210,,Reference Hand Sample(s),Rock Bag,Y,90,0.382,382,B,B2,,
Chaffee County,,Colorado,,,MC0283,,Browns Canyon District,,D.C. Cox,38.62528,-106.06504,MRDS,10013699,,Reference Hand Sample(s),Rock Bag,Y,40,0.326,326,B,B2,,
Chaffee County,,Colorado,,Colorado Mill Tunnel,MC0284,,Browns Canyon District,,D.C. Cox,38.62528,-106.06504,MRDS,10013699,,Reference Hand Sample(s),Rock Bag,Y,90,0.08,80,B,B2,,
Chaffee County,,Colorado,,,MC0285,,Browns Canyon District,,D.C. Cox,38.62528,-106.06504,MRDS,10013699,,Reference Hand Sample(s),Rock Bag,Y,70,0.53,530,B,B2,,
Millard County,,Utah,UT-25,,MC0286,,"Conger Range,Utah",,,39.1850615,-113.7623457,Earth Point©,,"Section 4,T19S,R17W",Reference Hand Sample(s),Rock Bag,N,30,2.642,"2,642",B,B2,,
Grant County,,New Mexico,NM-2,Cliff Roy Mine,MC0288,,,,,32.60762,-108.81257,MRDS,10087792,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,1.122,"1,122",B,B3,,
Grant County,,New Mexico,NM-2,Cliff Roy Mine,MC0289,,,,,32.60762,-108.81257,MRDS,10087792,,"Reference Hand Sample(s),Powder",Paper Jar,Y,80,0.714,714,B,B3,,
Sierra County,,New Mexico,NM-26,Ellis Deposit 1910's,MC0291,,,,,33.13428,-107.25642,MRDS,10101670,,Reference Hand Sample(s),Rock Bag,Y,65,0.5,500,B,B3,,
Catron County,,New Mexico,NM-7,,MC0292,,Mogollon District,,,33.40453,-108.80092,MRDS,10069325,,"Reference Hand Sample(s),Powder",Paper Jar,N,50,0.77,770,B,B3,,
Sierra County,,New Mexico,NM-10 ,Lake Valley Deposit,MC0298,,,,,32.71679,-107.56727,MRDS,10105528,,Reference Hand Sample(s),Rock Bag,Y,70,0.148,148,B,B3,,
Grant County,,New Mexico,NM-3,Consolidation Group,MC0300,,,,,32.63791,-108.84623,MRDS,10272033,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.708,708,B,B3,,
Sierra County,,New Mexico,NM-21,Manganese Hill Group,MC0302,,,,S.K. Neuschel,32.83179,-107.25615,MRDS,10008856,,Reference Hand Sample(s),Rock Bag,Y,85,0.654,654,B,B3,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0304,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,85,1.148,"1,148",B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0305,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,80,0.982,982,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0306,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,40,0.646,646,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0307,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,70,0.746,746,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0308,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,90,1.562,"1,562",B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0309,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.378,378,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0310,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Paper Bag,Y,90,0.59,590,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0311,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,90,1.352,"1,352",B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0312,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.492,492,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0313,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.644,644,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0314,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.594,594,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0315,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,90,1.144,"1,144",B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0316,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.75,750,B,B4,,
Socorro County,,New Mexico,NM-20,Gianera Mine,MC0317,,Hewett describes Gianera Mine located at 1500 ft southwest of Tower Mine.,Reference_15,,33.96259,-106.97479,MRDS,60001553,,Reference Hand Sample(s),Rock Bag,Y,60,1.726,"1,726",,On Dresser A,,
Dona Ana County,,New Mexico,NM-23,,MC0319,,Velarde Manganese Group,,S.K. Neuschel,32.76373,-107.14002,MRDS,10097777,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.616,616,B,B4,,
Socorro County,,New Mexico,NM-20,Water Canyon,MC0321,,,,,34.02231,-107.12309,MRDS,10008852,,Reference Hand Sample(s),Rock Bag,Y,70,1.468,"1,468",B,B5,,
Hidalgo County,,New Mexico,NM-25,Cliff Roy Mine,MC0322,,"Caprock Mountain, New Mexico",,,32.60762,-108.81257,MRDS,10087792,,"Reference Hand Sample(s),Powder",Rock Bag,Y,50,1.26,"1,260",B,B5,,
Sierra County,,New Mexico,NM-22,,MC0325,,Black Jack Group is associated with Rock House Claims and Guame Property,,S.K. Neuschel,33.09039,-107.24392,MRDS,10008855,,"Reference Hand Sample(s),Powder",Rock Bag,Y,85,1.638,"1,638",B,B5,,
Socorro County,,New Mexico,NM-20,Optimo Claim,MC0326,,Carretas Canyon Group,,S.K. Neuschel,33.98370,-106.99337,MRDS,10094249,,Reference Hand Sample(s),Rock Bag,Y,75,0.544,544,B,B5,,
Socorro County,,New Mexico,NM-20,Optimo Claim,MC0327,,Carretas Canyon Group,,S.K. Neuschel,33.98370,-106.99337,MRDS,10094249,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,75,0.84,840,B,B5,,
Socorro County,,New Mexico,NM-20,Optimo Claim,MC0328,,Carretas Canyon Group,,S.K. Neuschel,33.98370,-106.99337,MRDS,10094249,,"Reference Hand Sample(s),Powder",Rock Bag,Y,50,0.62,620,B,B5,,
Socorro County,,New Mexico,NM-20,Optimo Claim,MC0330,,Carretas Canyon Group,,S.K. Neuschel,33.98370,-106.99337,MRDS,10094249,,Reference Hand Sample(s),Rock Bag,N,45,0.686,686,B,B5,,
Sierra County,,New Mexico,,Jones-Reiland Claims 1940's,MC0331,,,,S.K. Neuschel,32.83845,-107.25253,MRDS,10008857,,Reference Hand Sample(s),Rock Bag,Y,80,0.402,402,B,B5,,
Grant County,,New Mexico,NM-1,Contact Mine,MC0335,,,,,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Rock Bag,N,30,0.788,788,B,B6,,
Socorro County,,New Mexico,,Lucky Strike No.2,MC0346,,"Tower Mine, Luis Lopez District",,,33.98429,-107.00119,MRDS,10199368,,Reference Hand Sample(s),Rock Bag,Y,85,0.988,988,B,B6,,
Socorro County,,New Mexico,,Lucky Strike No.2,MC0347,,"Tower Mine, Luis Lopez District",,,33.98429,-107.00119,MRDS,10199368,,Reference Hand Sample(s),Rock Bag,N,45,2.244,"2,244",B,B6,,
Socorro County,,New Mexico,,Lucky Strike No.2,MC0348,,"Tower Mine, Luis Lopez District",,,33.98429,-107.00119,MRDS,10199368,,"Reference Hand Sample(s),Sand",Rock Bag,Y,45,0.964,964,B,B6,,
Socorro County,,New Mexico,,Lucky Strike No.2,MC0248A,,,,,33.98429,-107.00119,MRDS,10199368,,Reference Hand Sample(s),Rock Bag,N,20,1.05,"1,050",B,B6,,
Socorro County,,New Mexico,,Cliffside Mine,MC0352,,Water Canyon Manganese Mine 1914,,S.K. Neuschel,34.02231,-107.12309,MRDS,10008852,,Reference Hand Sample(s),Paper Bag,Y,40,0.062,62,C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0353,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,Y,75,1.014,"1,014",C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0354,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,Y,75,0.468,468,C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0355,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,N,45,0.47,470,C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0356,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,Y,90,0.54,540,C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0357,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,N,30,0.37,370,C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0358,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,Y,90,0.864,864,C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0359,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,Y,45,0.49,490,C,C1,,
Grant County,,New Mexico,,Cliff Roy Mine,MC0360,,,,S.K. Neuschel,32.61402,-108.80953,MRDS,10198876,,Reference Hand Sample(s),Paper Bag,Y,80,0.63,630,C,C1,,
Sierra County,,New Mexico,,"Cliff Roy Mine sample collected in Grant County, New Mexico.",MC0362,,Diamond A Manganese Group,,S.K. Neuschel,33.12844,-107.22253,MRDS,10011905,,Reference Hand Sample(s),Paper Bag,Y,75,1.104,"1,104",C,C1,,
Sierra County,,New Mexico,,,MC0363,,Velarde Manganese Group,,S.K. Neuschel,32.76373,-107.14002,MRDS,10097777,,Reference Hand Sample(s),Paper Bag,Y,50,0.512,512,C,C1,,
Dona Ana County,,New Mexico,,Morgan Mine,MC0370,,,,,32.68622,-107.07448,MRDS,10199095,,Reference Hand Sample(s),Paper Bag,N,80,0.056,56,C,C2,,
Luna County,,New Mexico,,Manganese Valley Mine,MC0371,,Little Florida Mountains District,,Jewell J. Glass,32.20346,-107.59198,MRDS,10067834,,Reference Hand Sample(s),Paper Bag,Y,60,0.668,668,C,C2,,
Sierra County,,New Mexico,,Dawson Manganese Claims,MC0376,,"Apache Canyon, New Mexico",,S.K. Neuschel,32.89956,-107.20948,MRDS,10011993,,Reference Hand Sample(s),Paper Bag,Y,70,0.738,738,C,C2,,
Socorro County,,New Mexico,,Ultimo Claim,MC0377,,Carretas Canyon Group,,,33.98370,-106.99337,MRDS,10094249,,Reference Hand Sample(s),Paper Bag,Y,80,0.872,872,C,C2,,
Sierra County,,New Mexico,,,MC0378,,"Apache Canyon, New Mexico",,S.K. Neuschel,32.89956,-107.20948,MRDS,10011993,,Reference Hand Sample(s),Paper Bag,Y,80,3.796,"3,796",,On Dresser A,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0379,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,70,2.064,"2,064",C,C2,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0380,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,40,1.326,"1,326",C,C2,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0381,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,70,0.29,290,C,C3,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0382,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,70,0.21,210,C,C3,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0383,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,75,1.27,"1,270",C,C3,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0384,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,80,0.646,646,C,C3,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0385,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,80,0.196,196,C,C3,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0386,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Reference Hand Sample(s),Paper Bag,Y,70,0.838,838,C,C3,,
Hidalgo County,,New Mexico,,Hoggett Manganese Deposits,MC0387,,,,S.K. Neuschel,31.74320,-108.70395,MRDS,10008864,,Powder,Box,Y,100,0.654,654,C,C3,,
Dona Ana County,,New Mexico,,,MC0390,,Rincon Manganese Group,,S.K. Neuschel,32.68262,-107.06225,MRDS,10012967,,Reference Hand Sample(s),Paper Bag,Y,90,4.032,"4,032",,On Dresser A,,
Campbell County,,Virginia,E-48,Pribble Mine,MC0392,,,,,37.25476,-79.23395,MRDS,10276714,,Reference Hand Sample(s),Rock Bag,Y,80,0.152,152,C,C3,,
Giles County,,Virginia,E-40,Stowe Mine,MC0393,,,,,37.31837,-80.87120,MRDS,10276452,,Reference Hand Sample(s),Rock Bag,Y,90,0.07,70,C,C3,,
Aroostook County,,Maine,E-8,Higgins Farm,MC0398,,,,,46.67664,-68.09322,MRDS,10194694,,Reference Hand Sample(s),Rock Bag,Y,80,0.928,928,C,C3,,
Brule County,,South Dakota,E-1,,MC0399,,Chamberlain Manganese District,,,43.80278,-99.33472,MRDS,10400309,,Reference Hand Sample(s),Rock Bag,N,60,0.74,740,C,C4,,
